"Year","Cancer_code","Cancer_name","Sex_code","Sex_name","SA2_code","SA2_name","p025","p10","p50","p90","p975","Prob"
"2010-2014",39,"Prostate",1,"Males",81061,"Watson",0.71,0.77,0.88,1.01,1.09,0.759
"2010-2014",39,"Prostate",1,"Males",81062,"Deakin",0.8,0.87,1,1.16,1.25,0.017
"2010-2014",39,"Prostate",1,"Males",81063,"Forrest",0.7,0.77,0.92,1.09,1.19,0.469
"2010-2014",39,"Prostate",1,"Males",81064,"Griffith (ACT)",0.67,0.73,0.85,0.99,1.07,0.838
"2010-2014",39,"Prostate",1,"Males",81065,"Kingston - Barton",0.68,0.75,0.9,1.07,1.18,0.551
"2010-2014",39,"Prostate",1,"Males",81067,"Narrabundah",0.63,0.69,0.82,0.97,1.06,0.869
"2010-2014",39,"Prostate",1,"Males",81069,"Red Hill (ACT)",0.75,0.81,0.92,1.04,1.11,0.636
"2010-2014",39,"Prostate",1,"Males",81070,"Yarralumla",0.82,0.9,1.06,1.24,1.36,0.351
"2010-2014",39,"Prostate",1,"Males",81071,"Banks",0.74,0.82,0.98,1.17,1.29,0.116
"2010-2014",39,"Prostate",1,"Males",81072,"Bonython",0.85,0.91,1.06,1.21,1.31,0.365
"2010-2014",39,"Prostate",1,"Males",81073,"Calwell",0.8,0.86,0.99,1.12,1.21,0.112
"2010-2014",39,"Prostate",1,"Males",81074,"Chisholm",0.71,0.77,0.89,1.04,1.12,0.679
"2010-2014",39,"Prostate",1,"Males",81075,"Conder",0.79,0.86,1,1.16,1.25,0.017
"2010-2014",39,"Prostate",1,"Males",81076,"Fadden",0.7,0.76,0.88,1.02,1.1,0.726
"2010-2014",39,"Prostate",1,"Males",81077,"Gilmore",0.65,0.71,0.85,1.01,1.11,0.767
"2010-2014",39,"Prostate",1,"Males",81078,"Gordon (ACT)",0.77,0.83,0.95,1.09,1.16,0.347
"2010-2014",39,"Prostate",1,"Males",81079,"Gowrie (ACT)",0.72,0.78,0.91,1.04,1.13,0.637
